Date,Kosdaq,Kospi
2023-01-02 00:00:00+09:00,671.510009765625,2225.669921875
2023-01-03 00:00:00+09:00,674.9500122070312,2218.679931640625
2023-01-04 00:00:00+09:00,683.6699829101562,2255.97998046875
2023-01-05 00:00:00+09:00,679.9199829101562,2264.64990234375
2023-01-06 00:00:00+09:00,688.9400024414062,2289.969970703125
2023-01-09 00:00:00+09:00,701.2100219726562,2350.18994140625
2023-01-10 00:00:00+09:00,696.0499877929688,2351.31005859375
2023-01-11 00:00:00+09:00,709.77001953125,2359.530029296875
2023-01-12 00:00:00+09:00,710.8200073242188,2365.10009765625
2023-01-13 00:00:00+09:00,711.8200073242188,2386.090087890625
2023-01-16 00:00:00+09:00,716.8900146484375,2399.860107421875
2023-01-17 00:00:00+09:00,709.7100219726562,2379.389892578125
2023-01-18 00:00:00+09:00,711.75,2368.320068359375
2023-01-19 00:00:00+09:00,712.8900146484375,2380.340087890625
2023-01-20 00:00:00+09:00,717.969970703125,2395.260009765625
2023-01-25 00:00:00+09:00,732.3499755859375,2428.570068359375
2023-01-26 00:00:00+09:00,738.9400024414062,2468.64990234375
2023-01-27 00:00:00+09:00,741.25,2484.02001953125
2023-01-30 00:00:00+09:00,738.6199951171875,2450.469970703125
2023-01-31 00:00:00+09:00,740.489990234375,2425.080078125
2023-02-01 00:00:00+09:00,750.9600219726562,2449.800048828125
2023-02-02 00:00:00+09:00,764.6199951171875,2468.8798828125
2023-02-03 00:00:00+09:00,766.7899780273438,2480.39990234375
2023-02-06 00:00:00+09:00,760.8200073242188,2445.219970703125
