Date,S&P500,Nasdaq
2023-01-03 00:00:00-05:00,380.82000732421875,10386.98046875
2023-01-04 00:00:00-05:00,383.760009765625,10458.759765625
2023-01-05 00:00:00-05:00,379.3800048828125,10305.240234375
2023-01-06 00:00:00-05:00,388.0799865722656,10569.2900390625
2023-01-09 00:00:00-05:00,387.8599853515625,10635.650390625
2023-01-10 00:00:00-05:00,390.5799865722656,10742.6298828125
2023-01-11 00:00:00-05:00,395.5199890136719,10931.669921875
2023-01-12 00:00:00-05:00,396.9599914550781,11001.099609375
2023-01-13 00:00:00-05:00,398.5,11079.16015625
2023-01-17 00:00:00-05:00,397.7699890136719,11095.1103515625
2023-01-18 00:00:00-05:00,391.489990234375,10957.009765625
2023-01-19 00:00:00-05:00,388.6400146484375,10852.26953125
2023-01-20 00:00:00-05:00,395.8800048828125,11140.4296875
2023-01-23 00:00:00-05:00,400.6300048828125,11364.41015625
2023-01-24 00:00:00-05:00,400.20001220703125,11334.26953125
2023-01-25 00:00:00-05:00,400.3500061035156,11313.3603515625
2023-01-26 00:00:00-05:00,404.75,11512.41015625
2023-01-27 00:00:00-05:00,405.67999267578125,11621.7099609375
2023-01-30 00:00:00-05:00,400.5899963378906,11393.8095703125
2023-01-31 00:00:00-05:00,406.4800109863281,11584.5498046875
2023-02-01 00:00:00-05:00,410.79998779296875,11816.3203125
2023-02-02 00:00:00-05:00,416.7799987792969,12200.8203125
2023-02-03 00:00:00-05:00,412.3500061035156,12006.9501953125
